Attributes,close,close,close,close,close,close,high,high,high,high,high,high,low,low,low,low,low,low,open,open,open,open,open,open,volume,volume,volume,volume,volume,volume
Symbols,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax
2009-01-30,1900.09,248.6,2973.92,617.38,5290.05,4338.35,1909.95,253.2,3028.09,627.37,5326.3,4454.39,1881.9,247.04,2949.39,613.39,5205.91,4312.17,1887.48,252.35,3000.62,616.1,5283.65,4420.33,49721576.0,,159374274.0,179438928.0,82464096.0,145201376.0
2009-02-02,1858.77,245.96,2930.05,602.08,5166.96,4271.04,1895.63,247.28,2940.63,617.5,5259.15,4309.19,1845.9,241.71,2867.68,595.62,5140.38,4198.15,1895.63,245.42,2940.63,615.47,5251.01,4309.17,82862224.0,,110927015.0,152123456.0,68019568.0,111287152.0
2009-02-03,1883.81,250.83,2982.39,622.74,5217.61,4374.96,1883.87,251.49,2989.17,623.64,5246.38,4385.44,1859.58,242.81,2899.22,597.7,5142.26,4224.53,1869.09,247.56,2951.32,602.67,5201.26,4302.52,53811256.0,,116696463.0,193608848.0,63908904.0,130716584.0
2009-02-04,1906.49,254.79,3068.99,644.71,5225.46,4492.79,1916.22,257.78,3097.73,649.28,5227.69,4545.52,1877.55,250.29,2988.45,620.67,5142.15,4372.01,1896.81,251.6,3007.95,623.1,5191.08,4388.26,63634816.0,,147089070.0,243033248.0,83237592.0,139793264.0
2009-02-05,1907.22,252.51,3066.29,643.2,5106.85,4510.49,1910.43,253.15,3069.11,644.0,5141.14,4519.44,1872.81,246.19,2976.59,627.68,5005.24,4387.78,1879.07,249.49,3012.3,640.2,5126.43,4443.95,41380716.0,,124605564.0,207510144.0,105086496.0,126373328.0
2009-02-06,1916.88,261.35,3122.79,670.54,5123.09,4644.63,1927.11,262.56,3146.69,673.65,5152.85,4657.06,1895.25,253.92,3056.92,642.45,5052.65,4506.45,1918.86,255.0,3086.01,643.41,5147.37,4524.8,58709156.0,,152372025.0,239748768.0,111554040.0,164838368.0
2009-02-09,1927.25,262.72,3134.87,688.42,5158.5,4666.82,1928.97,263.95,3146.13,690.51,5177.33,4688.59,1897.0,257.92,3089.77,663.79,5076.31,4596.74,1909.88,259.4,3111.68,670.54,5101.29,4627.83,69133376.0,,106216457.0,229058496.0,77705456.0,145603104.0
2009-02-10,1884.26,251.37,3020.75,676.48,5144.69,4505.54,1930.75,260.22,3124.05,688.42,5235.18,4649.23,1884.26,251.37,3020.75,672.78,5107.46,4505.54,1916.48,259.45,3102.5,688.42,5146.33,4636.64,59858000.0,,109860525.0,200045488.0,108394560.0,147312912.0
2009-02-11,1884.02,253.28,3027.72,676.35,5123.77,4530.09,1884.74,253.94,3034.01,684.23,5167.8,4539.22,1858.34,249.67,2986.21,665.34,5054.84,4466.06,1869.66,250.19,2999.02,676.48,5083.89,4491.72,55221644.0,,115401771.0,167024800.0,80060784.0,107647168.0
2009-02-12,1843.0,248.27,2964.34,672.86,5106.67,4407.56,1859.21,249.47,3012.06,676.35,5137.74,4518.68,1829.9,244.96,2932.41,657.99,5062.32,4371.47,1859.21,249.33,3012.06,676.35,5097.96,4518.68,101499888.0,,126486452.0,198884864.0,88037240.0,130700952.0
